pictures,username,Category,Level
images\realistic (20).jpg,Satra,Unrealistic,4.0
images\face of a woman with black hair.jpg,Satra,Unrealistic,4.0
images\female face(29).jpg,Nita,Incorrect Proportion,2.0
images\boy face.jpg,Nita,Wrong Aspect,3.0
images\face of a smiling girl with red hair(1).jpg,Nita,Unrealistic,4.0
images\correct_1.jpg,Nita,Alignment Problem,1.0
images\face of a man with a tattoo.jpg,Nita,Incorrect Proportion,1.0
images\old lady face (1).jpg,Nita,Wrong Aspect,3.0
images\old man face (2).jpg,Nita,Incorrect Proportion,0.0
images\face of a girl.jpg,Nita,Unrealistic,2.0
images\face of a smiling darkskinned woman.jpg,Nita,Incorrect Proportion,0.0
images\realistic (11).jpg,Nita,Incorrect Proportion,3.0
images\old lady face (5).jpg,Nita,Wrong Aspect,4.0
images\school girl face (2).jpg,Nita,Number of Features,3.0
images\realistic face (2).jpg,Nita,Unrealistic,2.0
images\face of a girl with piercings(1).jpg,Nita,Alignment Problem,1.0
images\school boy face (3).jpg,Nita,Unrealistic,2.0
images\young boy (1).jpg,Nita,Incorrect Proportion,2.0
images\correct_4.jpg,Nita,Alignment Problem,0.0
images\ip_2.jpg,Nita,Unrealistic,1.0
images\face of a sleeping boy(2).jpg,Nita,Number of Features,2.0
images\face of a woman (1).jpg,Nita,Unrealistic,3.0
images\unreal_4.jpg,hg,Unrealistic,5.0
images\face of a sleeping boy.jpg,hg,Number of Features,4.0
images\realistic (18).jpg,hg,Alignment Problem,1.0
images\school boy face (1).jpg,hg,Unrealistic,4.0
images\old lady face (3).jpg,hg,Alignment Problem,3.0
images\face of a boy with glasses(3).jpg,hg,Wrong Aspect,3.0
images\realistic (23).jpg,hg,Unrealistic,3.0
images\unreal_3.jpg,hg,Wrong Aspect,3.0
images\realistic face (29).jpg,hg,Alignment Problem,2.0
images\child face(2).jpg,hg,Wrong Aspect,3.0
images\ugly male face(2).jpg,hg,Wrong Aspect,3.0
images\nf_4.jpg,hg,Number of Features,3.0
images\ugly male face(3).jpg,hg,Wrong Aspect,3.0
images\face of a boy with glasses(1).jpg,hg,Alignment Problem,1.0
images\realistic face (46).jpg,hg,Unrealistic,3.0
images\realistic (13).jpg,hg,No Errors,0.0
images\realistic face sad.jpg,hg,Number of Features,3.0
images\female face(11).jpg,hg,Alignment Problem,1.0
images\realistic face (9).jpg,hg,No Errors,0.0
images\female face(22).jpg,hg,Incorrect Proportion,1.0
images\face of a man with glasses2.jpg,malu,No Errors,0.0
images\realistic face (43).jpg,malu,Incorrect Proportion,1.0
images\boy face (1).jpg,malu,Alignment Problem,1.0
images\face of a smiling woman.jpg,malu,Unrealistic,4.0
images\realistic face (3).jpg,malu,Unrealistic,2.0
images\face of a boy with piercings(2).jpg,malu,Incorrect Proportion,2.0
images\female face(27).jpg,malu,Unrealistic,3.0
images\face of a woman with black hair(1).jpg,malu,Unrealistic,4.0
images\nf_2.jpg,malu,Unrealistic,2.0
images\face of a girl with glasses.jpg,malu,Wrong Aspect,1.0
images\old lady with white hair.jpg,malu,Alignment Problem,1.0
images\school boy face.jpg,malu,Number of Features,2.0
images\face of a woman with black hair(3).jpg,malu,No Errors,0.0
images\realistic face (41).jpg,malu,Incorrect Proportion,1.0
images\a realistic face.jpg,malu,Number of Features,2.0
images\face of a boy with piercings(3).jpg,malu,Incorrect Proportion,2.0
images\realistic face (15).jpg,malu,No Errors,0.0
images\adolescent (4).jpg,malu,Alignment Problem,1.0
images\nf_1.jpg,malu,Unrealistic,4.0
images\unreal_2.jpg,malu,Unrealistic,3.0
images\female face(13).jpg,alexm,Number of Features,4.0
images\face of a girl(4).jpg,alexm,Unrealistic,3.0
images\school girl face.jpg,alexm,Alignment Problem,1.0
images\child face(6).jpg,alexm,Number of Features,4.0
images\face of a smiling boy(2).jpg,alexm,Unrealistic,4.0
images\female nose(3).jpg,alexm,Wrong Aspect,2.0
images\old lady face (2).jpg,alexm,No Errors,0.0
images\sleeping face(2).jpg,alexm,Number of Features,5.0
images\old lady face (4).jpg,alexm,Incorrect Proportion,1.0
images\realistic face (48).jpg,alexm,Wrong Aspect,3.0
images\realistic (8).jpg,alexm,No Errors,0.0
images\realistic (7).jpg,alexm,No Errors,0.0
images\female face(16).jpg,alexm,Unrealistic,2.0
images\face of a girl with piercings.jpg,alexm,Wrong Aspect,3.0
images\face of a smiling boy(1).jpg,alexm,Unrealistic,3.0
images\female nose.jpg,alexm,Alignment Problem,0.0
images\sleeping face(1).jpg,alexm,No Errors,0.0
images\realistic (4).jpg,alexm,Unrealistic,4.0
images\realistic face (7).jpg,alexm,Alignment Problem,1.0
images\child face (1).jpg,alexm,Number of Features,2.0
images\adolescent (3).jpg,WESAYSO,Unrealistic,3.0
images\face of a darkskinned woman.jpg,WESAYSO,Incorrect Proportion,2.0
images\female face(31).jpg,WESAYSO,Alignment Problem,2.0
images\nf_3.jpg,WESAYSO,Number of Features,2.0
images\face of a man with black hair.jpg,WESAYSO,Unrealistic,4.0
images\realistic (21).jpg,WESAYSO,Unrealistic,3.0
images\female face(30).jpg,WESAYSO,Unrealistic,3.0
images\realistic face (11).jpg,WESAYSO,Incorrect Proportion,1.0
images\realistic face (45).jpg,WESAYSO,Incorrect Proportion,1.0
images\realistic (9).jpg,WESAYSO,Incorrect Proportion,1.0
images\face(2).jpg,WESAYSO,Unrealistic,1.0
images\ip_4.jpg,WESAYSO,Incorrect Proportion,1.0
images\face of a man with a face piercing.jpg,WESAYSO,No Errors,0.0
images\female face(8).jpg,WESAYSO,Unrealistic,3.0
images\face of a smiling man with long red hair(1).jpg,WESAYSO,Unrealistic,3.0
images\child face(7).jpg,WESAYSO,Number of Features,3.0
images\face of a man (2).jpg,WESAYSO,Unrealistic,2.0
images\face of a smiling woman(1).jpg,WESAYSO,Incorrect Proportion,1.0
images\face(1).jpg,WESAYSO,Unrealistic,4.0
images\face of a girl with piercings2.jpg,WESAYSO,No Errors,0.0
images\realistic face (42).jpg,sebastian,Wrong Aspect,1.0
images\face of a smiling darkskinned woman(2).jpg,sebastian,No Errors,0.0
images\realistic face (18).jpg,sebastian,Alignment Problem,2.0
images\face of a smiling darkskinned woman(1).jpg,sebastian,Unrealistic,1.0
images\girl with tattoo.jpg,sebastian,Unrealistic,0.0
images\realistic (16).jpg,sebastian,Alignment Problem,1.0
images\ip_5.jpg,sebastian,Alignment Problem,1.0
images\female face(10).jpg,sebastian,No Errors,0.0
images\sleeping face(5).jpg,sebastian,Alignment Problem,2.0
images\face of a man with a tattoo1.jpg,sebastian,Unrealistic,1.0
images\young.jpg,sebastian,Unrealistic,1.0
images\realistic (19).jpg,sebastian,Alignment Problem,1.0
images\face of a boy with black hair.jpg,sebastian,Unrealistic,2.0
images\ip_1.jpg,sebastian,Alignment Problem,1.0
images\child face.jpg,sebastian,Number of Features,3.0
images\face of a sleeping boy(3).jpg,sebastian,Unrealistic,3.0
images\female face(12).jpg,sebastian,No Errors,0.0
images\face of a darkskinned man(1).jpg,sebastian,Unrealistic,2.0
images\face of a boy with piercings.jpg,sebastian,No Errors,0.0
images\realistic face (5).jpg,sebastian,Unrealistic,1.0
